id;title;genre;uri;method;tc;yc;gc;updated
8;Edison Kinetoscopic Record of a Sneeze (1894);Documentary|Short;http://dbpedia.org/resource/Fred_Ott's_Sneeze;perfect;1.0;1.0;1.0;2015-09-25T13:13:56
10;La sortie des usines Lumière (1895);Documentary|Short;http://dbpedia.org/resource/Workers_Leaving_the_Lumi%C3%A8re_Factory;perfect;1.0;1.0;1.0;2015-09-07T12:50:17
12;The Arrival of a Train (1896);Documentary|Short;;;0.0;0.0;0.0;2015-08-24T08:01:22
91;Le manoir du diable (1896);Short|Horror;http://dbpedia.org/resource/The_Haunted_Castle_(1896_film);perfect;1.0;1.0;1.0;2015-06-02T00:47:01
417;Le voyage dans la lune (1902);Short|Adventure|Fantasy;http://dbpedia.org/resource/A_Trip_to_the_Moon;perfect;1.0;1.0;0.666666666667;2015-09-14T10:54:31
439;The Great Train Robbery (1903);Short|Action|Crime;http://dbpedia.org/resource/The_Great_Train_Robbery_(1903_film);perfect;1.0;1.0;1.0;2015-06-02T00:47:01
443;Hiawatha, the Messiah of the Ojibway (1903);;;;0.0;0.0;0.0;2016-11-06T18:43:31
628;The Adventures of Dollie (1908);Action|Short;http://dbpedia.org/resource/The_Adventures_of_Dollie;perfect;1.0;1.0;0.5;2015-06-02T00:47:01
833;The Country Doctor (1909);Short|Drama;http://dbpedia.org/resource/The_Country_Doctor_(film);perfect;1.0;1.0;1.0;2015-09-14T10:39:28
1223;Frankenstein (1910);Short|Fantasy|Horror;http://dbpedia.org/resource/Frankenstein_(1910_film);perfect;1.0;1.0;0.666666666667;2015-10-02T12:25:01
1740;The Lonedale Operator (1911);Short|Drama|Romance;http://dbpedia.org/resource/The_Lonedale_Operator;perfect;1.0;1.0;0.5;2015-09-17T16:04:42
2101;Cleopatra (1912);Drama|History;http://dbpedia.org/resource/Cleopatra_(1912_film);perfect;1.0;1.0;0.5;2015-09-25T09:53:32
2130;L'inferno (1911);Adventure|Drama|Fantasy;http://dbpedia.org/resource/L'Inferno_(1911_film);perfect;1.0;1.0;0.0;2015-06-02T00:47:01
2354;Max et Jane veulent faire du théâtre (1911);Short|Comedy;;;0.0;0.0;0.0;2016-10-05T13:30:49
2844;Fantômas - À l'ombre de la guillotine (1913);Crime|Drama;http://dbpedia.org/resource/Fant%C3%B4mas_(1913_serial);perfect;1.0;1.0;0.5;2015-06-02T00:47:01
3740;Cabiria (1914);Adventure|Drama|History;http://dbpedia.org/resource/Cabiria;perfect;1.0;1.0;0.666666666667;2015-06-02T00:47:01
3863;Dough and Dynamite (1914);Comedy|Short;http://dbpedia.org/resource/Dough_and_Dynamite;perfect;1.0;1.0;1.0;2015-06-02T00:48:47
4099;His Majesty, the Scarecrow of Oz (1914);Family|Fantasy|Adventure;http://dbpedia.org/resource/His_Majesty,_the_Scarecrow_of_Oz;perfect;1.0;1.0;0.333333333333;2015-06-02T00:47:01
4101;His New Profession (1914);Short|Comedy;http://dbpedia.org/resource/His_New_Profession;perfect;1.0;1.0;1.0;2015-06-02T00:48:48
4210;Laughing Gas (1914);Short|Comedy;http://dbpedia.org/resource/Laughing_Gas_(1914_film);perfect;1.0;1.0;1.0;2016-10-09T21:05:21
4395;The New Janitor (1914);Short|Comedy;http://dbpedia.org/resource/The_New_Janitor;perfect;1.0;1.0;1.0;2015-06-02T00:48:49
4457;The Patchwork Girl of Oz (1914);Adventure|Family|Fantasy;http://dbpedia.org/resource/The_Patchwork_Girl_of_Oz_(1914_film);perfect;1.0;1.0;0.0;2016-10-05T13:30:52
4518;Recreation (1914);Comedy|Short;http://dbpedia.org/resource/Recreation_(film);perfect;1.0;1.0;1.0;2016-11-20T11:04:25
4546;The Rounders (1914);Comedy|Short;http://dbpedia.org/resource/The_Rounders_(1914_film);perfect;1.0;1.0;1.0;2015-06-02T00:48:51
4936;The Bank (1915);Comedy|Short;http://dbpedia.org/resource/The_Bank_(1915_film);perfect;1.0;1.0;1.0;2015-09-25T09:53:34
4972;The Birth of a Nation (1915);Drama|History|War;http://dbpedia.org/resource/The_Birth_of_a_Nation;perfect;1.0;1.0;0.75;2015-09-14T10:54:33
5074;The Champion (1915);Short|Comedy|Sport;http://dbpedia.org/resource/The_Champion_(1915_film);perfect;1.0;1.0;0.666666666667;2015-06-02T00:47:01
5078;The Cheat (1915);Drama;http://dbpedia.org/resource/The_Cheat_(1915_film);perfect;1.0;1.0;1.0;2015-09-17T15:25:43
5530;L'héroïsme de Paddy (1915);;;;0.0;0.0;0.0;2015-09-14T10:54:59
5571;A Jitney Elopement (1915);Short|Comedy;http://dbpedia.org/resource/A_Jitney_Elopement;perfect;1.0;1.0;1.0;2015-06-02T00:47:01
5960;Regeneration (1915);Biography|Crime|Drama;http://dbpedia.org/resource/Regeneration_(1915_film);perfect;1.0;1.0;0.666666666667;2015-12-15T09:55:27
6177;The Tramp (1915);Short|Comedy;http://dbpedia.org/resource/The_Tramp_(film);perfect;1.0;1.0;1.0;2015-06-02T00:47:01
6206;Les vampires (1915);Action|Adventure|Crime;http://dbpedia.org/resource/Les_Vampires;pattern;0.916666666667;1.0;0.333333333333;2016-11-08T14:22:39
6414;Behind the Screen (1916);Short|Comedy|Romance;http://dbpedia.org/resource/Behind_the_Screen;perfect;1.0;1.0;0.666666666667;2015-06-02T00:47:01
6437;The Blacklist (1916);Drama;http://dbpedia.org/resource/The_Blacklist_(film);perfect;1.0;1.0;1.0;2015-09-13T19:26:07
6684;The Fireman (1916);Short|Comedy;http://dbpedia.org/resource/The_Fireman_(1916_film);perfect;1.0;1.0;1.0;2015-09-14T10:55:06
6689;The Floorwalker (1916);Short|Comedy;http://dbpedia.org/resource/The_Floorwalker;perfect;1.0;1.0;1.0;2015-09-14T10:39:30
6864;Intolerance: Love's Struggle Throughout the Ages (1916);Drama;http://dbpedia.org/resource/Intolerance_(film);any;0.291666666667;1.0;0.0;2015-09-25T09:53:46
7162;The Pawnshop (1916);Comedy|Short;http://dbpedia.org/resource/The_Pawnshop;perfect;1.0;1.0;1.0;2015-06-02T00:48:52
7264;The Rink (1916);Comedy|Short;http://dbpedia.org/resource/The_Rink_(film);perfect;1.0;1.0;1.0;2015-09-28T09:17:37
7507;The Vagabond (1916);Short|Comedy|Romance;http://dbpedia.org/resource/The_Vagabond_(film);perfect;1.0;1.0;0.666666666667;2016-11-08T14:22:41
7832;The Cure (1917);Short|Comedy;http://dbpedia.org/resource/The_Cure_(1917_film);perfect;1.0;1.0;1.0;2015-10-02T12:25:03
7880;Easy Street (1917);Short|Comedy;http://dbpedia.org/resource/Easy_Street_(film);perfect;1.0;1.0;1.0;2015-09-17T16:04:44
8133;The Immigrant (1917);Short|Comedy|Drama;http://dbpedia.org/resource/The_Immigrant_(1917_film);perfect;1.0;1.0;0.25;2015-09-28T09:17:40
8395;Otets Sergiy (1918);Biography|Drama|History;;;0.0;0.0;0.0;2015-09-17T15:26:09
9018;A Dog's Life (1918);Short|Comedy;http://dbpedia.org/resource/A_Dog's_Life;perfect;1.0;1.0;0.5;2015-09-07T12:51:37
9340;The Man Who Woke Up (1918);;;;0.0;0.0;0.0;2016-10-05T13:31:22
9678;Take a Chance (1918);Comedy|Short;http://dbpedia.org/resource/Take_a_Chance_(1918_film);perfect;1.0;1.0;1.0;2015-09-03T14:27:55
9893;Die Austernprinzessin (1919);Comedy;http://dbpedia.org/resource/The_Oyster_Princess;perfect;1.0;1.0;1.0;2015-12-01T21:17:10
9968;Broken Blossoms or The Yellow Man and the Girl (1919);Drama|Romance;http://dbpedia.org/resource/Broken_Blossoms;pattern;0.326086956522;1.0;1.0;2015-06-02T00:47:01
10247;Herr Arnes pengar (1919);Drama|History;http://dbpedia.org/resource/Sir_Arne's_Treasure;any;0.529411764706;1.0;0.5;2015-09-14T10:39:38
10258;His Royal Slyness (1920);Comedy|Short;http://dbpedia.org/resource/His_Royal_Slyness;perfect;1.0;1.0;1.0;2015-09-03T14:27:58
10323;Das Cabinet des Dr. Caligari (1920);Horror|Mystery;http://dbpedia.org/resource/The_Cabinet_of_Dr._Caligari;perfect;1.0;1.0;0.5;2016-10-05T13:31:24
10806;True Heart Susie (1919);Comedy|Drama|Romance;http://dbpedia.org/resource/True_Heart_Susie;perfect;1.0;1.0;0.333333333333;2015-12-19T09:40:26
10930;Young Mr. Jazz (1919);Comedy|Short;http://dbpedia.org/resource/Young_Mr._Jazz;perfect;1.0;1.0;1.0;2015-09-03T14:28:00
11130;Dr. Jekyll and Mr. Hyde (1920);Drama|Horror|Sci-Fi;http://dbpedia.org/resource/Dr._Jekyll_and_Mr._Hyde_(1920_film);perfect;1.0;1.0;0.333333333333;2016-10-05T13:31:27
11267;Headin' Home (1920);Biography|Comedy|Drama;http://dbpedia.org/resource/Heading_Home;any;0.916666666667;1.0;0.75;2015-09-25T13:14:15
11508;Neighbors (1920);Short|Comedy|Romance;http://dbpedia.org/resource/Neighbors_(1920_film);perfect;1.0;1.0;0.666666666667;2015-09-14T10:55:08
11541;One Week (1920);Short|Comedy;http://dbpedia.org/resource/One_Week_(1920_film);perfect;1.0;1.0;1.0;2015-06-02T00:47:01
11607;Prästänkan (1920);Comedy|Drama|Horror;;;0.0;0.0;0.0;2015-09-07T12:51:46
11656;The Scarecrow (1920);Comedy|Short|Family;http://dbpedia.org/resource/The_Scarecrow_(1920_film);perfect;1.0;1.0;0.666666666667;2016-10-05T13:31:30
11717;The Son of Tarzan (1920);Action|Adventure;http://dbpedia.org/resource/The_Son_of_Tarzan_(film);perfect;1.0;1.0;0.5;2015-10-02T12:25:05
11841;Way Down East (1920);Drama|Romance;http://dbpedia.org/resource/Way_Down_East;perfect;1.0;1.0;0.5;2015-09-17T15:26:11
11870;Within Our Gates (1920);Drama|Romance;http://dbpedia.org/resource/Within_Our_Gates;perfect;1.0;1.0;0.0;2015-09-14T10:39:42
12224;The Goat (1921);Comedy|Short;http://dbpedia.org/resource/The_Goat_(1921_film);perfect;1.0;1.0;1.0;2015-11-09T17:10:54
12278;The 'High Sign' (1921);Short|Comedy;;;0.0;0.0;0.0;2015-09-25T09:54:11
12349;The Kid (1921);Comedy|Drama|Family;http://dbpedia.org/resource/The_Kid_(1921_film);perfect;1.0;1.0;0.666666666667;2015-09-28T09:17:43
12364;Körkarlen (1921);Drama|Fantasy|Horror;http://dbpedia.org/resource/The_Phantom_Carriage;any;0.1;1.0;0.333333333333;2015-06-02T00:47:01
12532;Orphans of the Storm (1921);Drama|History;http://dbpedia.org/resource/Orphans_of_the_Storm;perfect;1.0;1.0;0.5;2015-10-02T12:25:08
12651;Schloß Vogeloed (1921);Crime|Drama|Horror;;;0.0;0.0;0.0;2015-06-02T00:47:01
12844;White and Unmarried (1921);;http://dbpedia.org/resource/White_and_Unmarried;perfect;1.0;1.0;0.0;2016-10-05T13:31:33
13025;Cops (1922);Short|Comedy|Family;http://dbpedia.org/resource/Cops_(film);perfect;1.0;1.0;0.666666666667;2015-06-02T00:47:01
13086;Dr. Mabuse, der Spieler - Ein Bild der Zeit (1922);Crime|Mystery|Thriller;http://dbpedia.org/resource/Dr._Mabuse_the_Gambler;any;0.953488372093;1.0;0.333333333333;2015-06-02T00:47:01
13099;The Electric House (1922);Short|Comedy;http://dbpedia.org/resource/The_Electric_House;perfect;1.0;1.0;1.0;2016-10-05T13:31:35
13140;Foolish Wives (1922);Drama;http://dbpedia.org/resource/Foolish_Wives;perfect;1.0;1.0;1.0;2015-06-02T00:47:01
13257;Häxan (1922);Documentary|Fantasy|Horror;http://dbpedia.org/resource/H%C3%A4xan;perfect;1.0;1.0;1.0;2015-09-14T10:55:10
13427;Nanook of the North (1922);Documentary;http://dbpedia.org/resource/Nanook_of_the_North;perfect;1.0;1.0;1.0;2015-06-02T00:47:01
13442;Nosferatu, eine Symphonie des Grauens (1922);Horror;http://dbpedia.org/resource/Nosferatu;perfect;1.0;1.0;1.0;2015-09-07T12:50:19
13626;La souriante Madame Beudet (1923);Drama;http://dbpedia.org/resource/La_Souriante_Madame_Beudet;partial;0.961538461538;0.999479979199;1.0;2015-06-02T00:47:01
13741;Das Weib des Pharao (1922);Drama|History;http://dbpedia.org/resource/The_Loves_of_Pharaoh;perfect;1.0;1.0;0.0;2016-10-05T13:31:40
13858;The Balloonatic (1923);Short|Comedy;http://dbpedia.org/resource/The_Balloonatic;perfect;1.0;1.0;1.0;2016-10-05T13:31:43
14142;The Hunchback of Notre Dame (1923);Drama|Romance;http://dbpedia.org/resource/The_Hunchback_of_Notre_Dame_(1923_film);perfect;1.0;1.0;0.5;2015-06-02T00:47:01
14341;Our Hospitality (1923);Comedy|Thriller;http://dbpedia.org/resource/Our_Hospitality;perfect;1.0;1.0;0.5;2015-06-02T00:47:01
14417;La roue (1923);Drama;http://dbpedia.org/resource/La_Roue;pattern;0.857142857143;1.0;1.0;2015-06-02T00:47:01
14429;Safety Last! (1923);Comedy|Thriller;http://dbpedia.org/resource/Safety_Last!;perfect;1.0;1.0;0.333333333333;2015-09-25T09:54:13
14532;The Ten Commandments (1923);Biography|Drama;http://dbpedia.org/resource/The_Ten_Commandments_(1923_film);perfect;1.0;1.0;1.0;2015-08-24T08:01:26
14538;Three Ages (1923);Comedy;http://dbpedia.org/resource/Three_Ages;perfect;1.0;1.0;1.0;2016-10-05T13:31:46
14624;A Woman of Paris: A Drama of Fate (1923);Drama|Romance;http://dbpedia.org/resource/A_Woman_of_Paris;any;0.484848484848;1.0;0.5;2015-09-07T12:51:54
14664;Alice's Spooky Adventure (1924);Animation|Short|Comedy;;;0.0;0.0;0.0;2015-08-24T08:01:50
14872;Entr'acte (1924);Short;http://dbpedia.org/resource/Entr'acte_(film);perfect;1.0;1.0;1.0;2015-06-02T00:47:01
14972;He Who Gets Slapped (1924);Drama|Romance|Thriller;http://dbpedia.org/resource/He_Who_Gets_Slapped;perfect;1.0;1.0;0.5;2015-09-14T10:39:44
15002;Hot Water (1924);Comedy;http://dbpedia.org/resource/Hot_Water_(1924_film);perfect;1.0;1.0;1.0;2015-06-02T00:47:01
15064;Der letzte Mann (1924);Drama;http://dbpedia.org/resource/The_Last_Laugh;perfect;1.0;1.0;1.0;2015-06-02T00:47:01
15163;The Navigator (1924);Action|Comedy;http://dbpedia.org/resource/The_Navigator_(1924_film);perfect;1.0;1.0;0.5;2015-09-27T22:45:27
15174;Die Nibelungen: Kriemhilds Rache (1924);Drama|Adventure|Fantasy;http://dbpedia.org/resource/Die_Nibelungen;any;0.59375;1.0;0.666666666667;2015-06-02T00:47:01
15175;Die Nibelungen: Siegfried (1924);Fantasy|Drama|Adventure;http://dbpedia.org/resource/Die_Nibelungen;any;0.6;1.0;0.666666666667;2015-09-14T10:39:52
15310;The Sea Hawk (1924);Adventure|Drama|Romance;http://dbpedia.org/resource/The_Sea_Hawk_(1924_film);perfect;1.0;1.0;0.0;2015-06-02T00:47:01
15324;Sherlock Jr. (1924);Action|Comedy;http://dbpedia.org/resource/Sherlock,_Jr.;perfect;1.0;1.0;0.5;2015-12-19T09:40:28
15361;Stachka (1925);Drama;http://dbpedia.org/resource/Strike_(1925_film);any;0.428571428571;1.0;0.0;2015-09-17T16:04:53
